Q1-Location,Q2-Price,Rooms,0,Bathrooms,Car Parks,Q6-Property Type,Q8-Furnishing
1,1508,3,1,5,,3,2
1,95,2,0,3,,3,3
1,1509,1,0,2,,3,2
11,572,3,1,3,2,12,2
32,71,3,1,2,2,12,2
33,197,3,1,4,2,12,2
32,65,3,0,2,1,12,2
22,300,3,0,2,2,16,2
29,1510,2,0,2,1,1,1
1,107,1,1,2,,11,2
14,108,5,0,4,,7,3
29,532,2,0,2,1,1,3
15,249,3,0,2,1,1,2
14,544,3,0,2,2,1,2
27,1511,3,0,2,2,14,1
11,238,3,1,3,3,12,1
11,93,4,1,5,2,12,
1,1512,1,1,2,1,1,
9,27,3,2,4,3,12,
1,1408,3,1,4,2,12,
11,54,4,1,5,3,12,2
1,157,3,1,3,2,1,
1,1513,2,0,2,1,1,
11,53,1,0,1,1,1,
25,1514,4,1,4,2,12,
11,47,3,0,2,1,12,
11,6,3,1,4,3,12,
23,10,4,1,5,2,12,
11,173,3,1,4,2,12,
11,202,4,2,6,3,12,
11,54,4,1,5,3,12,
10,18,3,1,3,1,12,
11,1515,4,1,6,3,12,
11,109,4,1,5,3,12,
11,202,4,2,5,3,12,
34,1354,3,2,4,3,12,
11,147,3,1,4,2,12,
11,108,3,1,,2,12,
1,1516,3,1,4,2,12,
1,231,1,0,1,1,1,
23,62,4,0,4,1,12,
23,17,3,1,3,1,12,
11,178,4,1,4,,43,2
11,94,3,1,3,2,12,
1,1387,2,0,2,1,12,
1,45,4,1,4,2,1,
5,134,3,0,2,,3,2
19,311,5,1,6,,2,2
32,1,6,0,4,,39,2
32,123,4,0,3,,5,2
32,357,2,1,2,,18,
23,1479,3,1,5,,3,2
11,1517,4,1,5,3,3,2
23,208,5,1,7,,14,2
23,1518,4,1,6,3,3,2
23,33,3,1,5,,3,2
16,53,3,1,3,2,1,3
4,690,3,0,2,2,3,
4,126,2,0,2,1,12,
4,283,5,1,5,2,9,3
1,172,4,1,4,,1,1
16,392,4,0,3,3,26,2
16,134,3,0,2,,7,2
4,383,3,0,2,1,6,2
7,738,5,1,5,,10,3
7,185,6,0,4,4,10,2
43,392,2,0,2,1,3,2
18,20,4,0,2,2,12,3
43,90,1,0,1,1,14,1
43,129,1,0,1,,14,2
43,129,1,0,1,1,14,1
7,1519,,,,,60,4
43,392,2,0,2,1,3,1
43,392,3,0,2,1,3,1
43,129,1,0,1,1,3,1
43,188,2,0,2,1,3,1
43,544,1,0,1,1,14,1
43,241,3,0,2,1,3,1
43,71,2,0,2,1,3,1
43,52,3,0,2,1,3,1
43,300,1,0,1,1,3,1
43,188,2,0,2,1,3,1
43,300,1,0,1,1,14,1
43,188,3,0,2,1,3,1
43,392,3,0,2,1,3,1
43,300,1,0,1,1,3,2
7,87,5,0,3,2,64,2
43,6,4,1,5,2,43,1
43,93,5,1,5,2,43,1
43,285,3,0,2,1,3,3
7,87,4,0,4,,20,2
22,90,3,0,2,1,11,3
21,24,1,0,2,1,11,2
43,512,3,0,2,1,3,2
43,20,1,0,1,1,3,2
22,397,3,0,2,2,16,2
43,392,2,0,2,1,3,1
43,219,3,0,2,2,3,3
43,364,2,0,2,1,3,1
33,1219,2,0,2,,1,2
33,1219,2,0,2,,1,2
12,27,6,0,5,,13,2
11,414,5,0,5,,12,2
33,1217,3,1,2,,16,2
45,410,3,1,4,,43,2
33,1219,2,0,2,,1,2
1,1218,3,0,2,,12,2
41,415,3,0,2,,29,2
32,108,3,2,3,,3,1
12,368,6,0,6,,34,1
45,679,3,0,2,,3,2
45,410,3,1,4,,43,2
34,202,,,,,21,2
4,492,3,0,3,1,35,2
1,1218,3,0,2,,12,2
12,34,6,0,5,,7,2
45,413,3,0,2,,12,2
45,679,3,0,2,,3,2
12,146,4,1,4,,59,2
12,32,6,0,6,,9,2
4,8,1,0,1,1,1,1
45,413,3,0,2,,12,2
1,1218,3,0,2,,12,2
20,1520,3,0,2,,14,
4,61,5,0,4,2,20,2
17,448,3,0,2,1,3,1
17,,3,1,2,1,12,1
33,1521,3,0,2,,11,
20,1242,5,0,5,,37,
4,586,1,0,1,,1,1
4,256,5,0,4,,39,2
4,339,2,0,2,1,12,3
4,137,5,0,4,,37,1
4,188,3,0,2,,3,2
24,362,1,0,2,1,16,1
38,100,6,0,7,,8,2
4,512,3,0,3,1,35,2
4,477,4,0,4,4,3,3
8,51,6,0,7,,9,2
4,474,3,0,2,1,3,3
4,621,3,0,2,1,14,3
4,154,4,0,4,2,3,2
4,48,,,,,49,3
4,296,3,0,2,2,14,3
4,25,,,,,49,3
4,190,3,0,2,1,14,3
4,71,4,0,3,,35,3
4,190,3,0,2,1,14,2
4,190,3,0,2,1,14,2
3,1054,3,1,4,2,3,2
19,1522,5,1,6,6,4,3
30,129,3,0,2,1,14,1
15,126,3,0,2,1,16,1
20,219,3,1,2,2,12,1
5,90,3,0,2,2,1,
45,21,3,0,2,2,12,2
14,79,4,1,6,,13,2
14,87,5,0,4,3,22,1
22,544,3,0,2,1,14,2
25,202,3,1,4,1,16,1
16,285,3,0,2,2,26,3
34,190,1,0,1,,1,1
34,339,1,0,1,,61,1
5,129,3,0,3,2,3,2
34,391,1,0,1,,1,1
55,249,3,0,2,,33,
5,188,2,0,2,2,14,
4,588,,,2,,12,
21,23,1,0,1,1,16,2
30,595,,,3,2,3,2
16,123,,,,2,7,2
25,341,1,0,1,2,1,1
5,25,2,0,2,2,14,2
40,51,5,0,6,4,12,1
15,385,,,2,1,12,2
30,392,3,1,4,2,3,2
60,147,5,1,5,2,20,2
30,20,3,0,2,1,12,2
40,126,4,0,3,1,16,3
30,299,2,0,2,1,16,3
20,71,3,0,2,1,14,1
30,392,,,4,3,33,2
16,250,4,0,3,2,7,2
16,149,3,0,2,2,7,2
16,512,3,0,3,2,7,2
64,108,5,0,4,2,20,2
23,94,,,,1,48,1
30,78,5,0,4,2,37,2
30,47,3,0,2,1,14,1
30,300,3,0,2,1,28,1
12,36,4,1,5,3,37,2
8,489,5,0,5,2,4,3
15,285,3,0,2,1,14,2
16,93,5,1,4,2,5,1
30,41,3,1,3,2,3,2
30,250,3,1,,2,3,2
1,1523,3,1,3,2,1,2
7,147,4,0,4,2,18,1
15,693,4,0,2,1,14,2
16,154,5,0,4,2,48,2
20,435,4,0,3,2,7,2
40,190,,,,1,11,3
45,47,4,0,3,2,7,2
30,384,3,1,4,2,3,2
15,300,3,0,2,1,14,2
17,126,3,0,2,1,6,2
40,736,4,0,2,2,12,1
10,18,3,1,3,1,12,1
40,397,3,1,2,1,1,2
40,271,3,0,2,1,16,2
40,65,3,0,2,1,12,2
16,529,3,0,2,2,3,1
20,213,3,0,2,1,12,2
45,25,3,0,3,1,12,2
40,111,3,0,2,1,12,2
40,190,3,1,2,1,1,2
40,129,3,0,2,2,14,2
40,249,3,0,2,1,1,2
23,384,1,0,1,1,1,2
30,52,2,0,2,,12,1
25,108,2,0,1,,1,1
57,918,2,0,2,2,1,1
29,300,2,0,2,1,12,1
1,1240,2,0,2,1,11,1
17,285,3,1,2,1,12,1
17,285,3,1,2,2,3,2
17,397,3,0,2,1,3,3
29,1,4,0,3,2,18,3
29,77,,,,,38,
16,1001,3,0,2,1,66,3
16,1524,3,0,2,,55,3
16,111,4,0,3,,7,2
16,299,3,0,2,,26,3
64,247,5,0,2,,7,3
15,512,3,0,2,1,12,1
16,245,5,1,2,,18,2
30,564,3,0,2,,6,2
22,219,4,0,2,2,3,2
20,392,3,1,2,3,3,1
23,200,6,1,5,4,2,2
20,26,3,0,2,2,15,2
20,53,3,0,2,3,3,2
16,277,3,0,2,1,14,3
16,93,5,1,6,,4,2
16,472,3,0,2,1,6,2
16,1525,3,0,2,1,12,2
12,73,3,1,4,,37,1
20,219,3,1,2,2,12,2
20,219,3,1,2,2,12,2
16,71,3,0,2,2,30,2
16,126,3,0,2,1,28,3
4,51,4,1,5,5,34,2
16,271,3,0,2,1,6,2
11,134,3,0,2,2,12,1
20,400,3,0,2,1,14,1
16,190,3,0,2,,12,3
17,404,5,0,4,,19,2
22,544,3,0,2,2,1,3
16,1078,3,0,2,1,6,3
16,393,3,0,2,,14,3
16,78,5,1,4,,13,2
17,456,3,0,2,1,12,3
16,393,3,1,2,1,3,2
20,134,3,0,2,1,12,1
8,122,5,0,2,2,26,2
29,116,4,0,3,2,7,2
34,251,3,1,3,1,12,1
29,277,3,0,2,1,12,2
4,78,5,0,5,,13,3
32,357,3,0,2,,13,2
29,934,1,0,1,1,12,1
29,384,3,1,2,1,12,1
29,586,3,0,2,1,12,2
7,178,5,0,4,3,21,3
29,129,2,0,2,1,1,1
4,14,7,0,5,,10,1
5,395,2,0,2,1,36,3
4,54,6,1,7,,10,2
4,190,3,0,2,1,36,2
14,38,5,0,4,,13,2
29,6,4,2,3,3,34,2
14,116,5,0,4,,13,2
4,1368,3,0,2,,36,3
14,87,4,1,6,,13,2
4,397,4,0,1,2,7,2
50,71,4,0,3,,7,4
4,4,4,0,3,,7,3
4,123,4,0,3,,19,2
59,1283,,,,,49,
1,1526,2,0,1,,16,1
20,397,3,0,2,1,36,2
11,108,3,1,4,2,3,1
1,299,1,0,1,,11,1
1,4,2,0,2,,11,1
33,1112,2,0,2,1,1,1
25,512,1,1,2,,11,1
33,512,1,0,2,1,11,1
1,299,1,0,1,,11,1
11,4,3,1,4,2,3,1
5,43,5,0,4,,20,2
33,512,1,0,2,1,11,1
10,1527,,,,,38,
1,1528,2,0,1,,16,1
1,108,3,0,2,,1,1
34,1529,,,,,53,
33,6,5,1,6,,2,3
4,4,1,1,1,1,28,1
23,9,4,1,2,,35,2
2,78,3,1,3,2,3,2
2,114,3,1,4,2,14,1
2,1530,,,,,60,
2,46,5,2,3,5,9,2
11,107,2,0,3,2,16,1
23,147,3,1,2,,35,2
23,147,5,0,3,,35,2
29,107,5,1,4,2,7,1
2,1531,1,1,2,,16,2
2,95,2,2,3,,16,2
2,1532,4,1,5,,16,2
7,309,5,1,6,,10,1
7,274,6,1,7,,8,2
17,129,3,0,2,,14,2
29,122,2,1,2,1,12,2
23,184,5,0,6,,10,2
29,219,3,0,2,,14,1
7,124,5,1,6,,8,2
38,512,4,0,1,,26,3
23,44,4,1,5,3,14,2
4,828,2,0,2,,7,
50,491,3,0,1,,35,3
5,19,6,1,6,,13,2
22,393,3,0,2,1,14,2
12,419,3,0,2,,14,2
12,43,4,0,3,,7,1
12,79,3,0,2,2,12,2
15,115,3,2,4,3,14,1
22,20,4,0,2,2,14,1
22,400,2,0,2,1,3,2
12,19,3,1,3,2,12,1
12,108,2,0,2,,6,1
12,375,5,0,5,,13,2
2,1,1,0,2,1,11,2
2,457,1,1,2,2,11,2
2,1533,2,0,2,2,11,2
29,1434,3,0,2,,28,2
12,70,3,0,2,,12,1
22,736,3,0,2,1,14,2
22,129,4,0,2,2,14,2
22,384,8,0,3,2,14,2
22,285,3,0,2,1,3,1
12,47,3,0,2,,12,
22,448,2,0,2,1,30,2
5,375,3,1,4,3,12,3
12,200,7,0,8,,23,3
22,1534,3,0,2,1,3,2
22,341,3,0,2,2,1,3
12,62,3,0,3,,13,2
22,620,4,0,2,2,3,1
22,231,3,1,4,2,3,2
22,1336,3,1,4,2,3,2
4,1119,3,0,2,,28,2
22,299,4,0,2,1,14,2
22,357,2,0,2,1,14,2
22,25,3,0,2,2,14,1
22,282,3,0,2,2,3,2
12,62,4,0,4,,12,1
22,129,3,2,2,2,14,2
12,114,4,0,3,,19,1
12,417,5,0,4,,21,2
22,90,4,0,2,1,14,2
12,6,4,0,4,,13,1
12,7,4,0,4,,3,3
12,109,4,0,4,,13,2
22,71,4,0,2,2,3,2
22,90,4,0,2,2,3,2
22,277,3,0,2,1,14,2
22,357,3,0,2,2,14,2
22,90,4,0,2,2,14,2
22,300,4,0,2,2,14,2
22,299,4,0,2,2,14,2
22,393,4,0,2,1,3,2
22,736,4,0,2,2,14,2
22,736,4,0,2,1,14,3
22,300,3,0,2,1,14,2
12,405,5,0,5,,21,2
12,417,6,0,5,,13,1
2,1535,2,1,4,2,16,2
2,1536,3,1,5,3,16,2
22,393,3,0,2,1,14,2
22,20,4,0,2,2,14,2
22,393,4,0,2,2,3,2
12,70,4,0,3,,12,2
33,1537,2,1,2,,11,2
12,100,6,0,7,,13,3
12,70,3,0,2,2,12,2
12,35,4,0,4,,37,2
12,111,1,1,1,1,12,2
71,249,3,0,2,1,7,2
48,626,3,0,2,1,6,2
12,6,4,0,4,,13,2
12,77,3,0,4,,14,3
12,79,2,0,3,,14,3
22,509,2,0,1,1,11,2
12,51,5,0,3,,44,2
12,10,3,1,3,,7,3
12,47,3,0,2,,12,1
12,51,5,0,5,,47,1
12,73,4,0,4,,13,2
12,123,4,0,2,,12,2
12,70,3,0,2,,12,3
12,200,7,0,8,,23,3
12,353,7,0,6,,13,3
12,465,4,0,4,,20,3
12,35,6,0,7,,21,2
2,19,1,0,1,1,11,1
12,10,4,0,4,,14,1
12,94,2,0,2,2,14,1
12,18,3,2,2,2,14,1
12,404,3,1,4,2,12,2
4,80,3,0,2,2,11,1
12,123,3,0,3,,12,2
12,115,4,0,3,,12,2
12,115,2,0,2,,12,2
22,341,3,0,2,2,17,1
12,115,4,0,3,,12,1
12,149,3,0,2,,12,1
12,195,7,0,6,,23,2
12,123,3,0,2,2,12,2
12,195,7,0,8,,46,2
4,433,3,0,2,2,11,2
12,375,4,0,3,,13,2
12,37,3,0,2,2,12,2
4,384,3,1,3,2,11,1
12,77,4,0,4,2,12,2
12,373,4,1,4,,21,2
12,18,3,0,3,,37,2
22,518,4,1,3,2,16,2
5,44,5,1,7,,2,2
12,202,6,0,5,,47,2
12,12,6,0,5,,47,2
12,17,3,1,3,2,3,3
12,79,3,1,3,2,14,2
1,95,4,1,5,2,16,2
1,114,3,0,2,2,14,1
1,567,4,0,5,2,43,1
41,1538,4,1,5,3,43,2
1,272,6,0,6,3,43,2
1,1254,3,0,3,2,43,1
1,107,3,1,4,2,11,2
45,413,3,0,2,,12,4
11,80,3,0,2,1,1,2
11,853,3,0,2,1,1,1
11,4,3,0,2,4,12,2
11,466,3,0,2,1,12,2
1,412,3,1,4,,12,4
11,512,2,1,2,1,12,1
24,34,2,1,3,2,16,1
38,378,6,1,7,5,10,2
24,77,2,1,3,2,16,1
15,512,2,1,,1,16,2
15,190,1,1,,1,11,1
1,6,2,1,2,1,1,2
15,512,2,1,,1,16,2
11,65,2,0,2,1,12,2
23,70,3,0,2,,26,3
15,249,3,0,2,1,11,2
37,385,3,0,2,1,12,2
19,520,3,0,2,1,1,1
17,129,3,0,2,1,12,2
22,939,3,0,2,1,12,1
16,564,3,0,1,1,65,2
15,454,3,0,2,1,11,2
17,383,3,0,2,2,14,2
23,34,4,0,5,2,3,2
43,52,3,0,2,2,14,2
41,115,2,0,2,1,14,1
1,914,2,0,1,1,1,1
6,108,3,0,2,3,1,1
41,1228,4,0,3,,12,2
9,74,1,1,2,1,1,
7,669,6,1,4,2,2,2
40,,4,0,4,2,78,3
1,1539,3,1,3,2,3,1
46,25,1,0,2,1,3,1
7,25,1,0,2,1,3,1
34,1540,5,0,5,3,3,2
3,,3,0,2,1,12,1
15,,3,0,2,1,1,3
29,511,2,0,2,1,12,3
6,1541,3,0,2,1,1,
1,1,2,1,2,,1,3
18,54,6,1,6,3,21,2
6,202,5,2,5,3,4,3
74,416,7,1,6,4,2,3
38,93,4,0,3,6,8,2
38,35,7,1,7,10,8,2
38,180,6,0,5,6,8,2
11,457,3,1,4,2,12,1
11,47,2,0,2,,1,1
14,213,3,0,2,,3,3
1,494,2,1,2,1,1,1
13,242,3,0,2,,1,
5,244,3,0,2,2,1,1
33,188,1,0,1,,1,3
11,450,3,1,3,,12,2
11,112,3,2,3,,12,2
11,244,3,0,2,1,12,1
11,809,2,0,2,,11,1
11,109,4,1,6,3,12,
11,346,4,1,6,3,12,
11,1,4,1,3,,12,2
3,226,4,2,6,6,2,1
11,176,4,1,6,3,3,1
23,882,7,0,7,6,12,2
23,208,7,0,7,6,12,2
23,195,4,0,5,4,12,2
23,1542,3,1,4,,12,
23,1543,3,1,4,,12,
11,142,5,1,6,6,2,2
23,1544,4,1,6,,12,2
23,1431,5,0,6,5,12,2
23,775,5,0,6,5,12,2
23,175,4,1,5,,12,2
34,32,4,2,6,3,12,
28,1545,5,1,6,,2,1
28,307,5,1,6,,2,
23,226,5,1,6,6,2,
4,34,6,0,6,4,4,1
5,62,4,0,3,4,19,4
5,108,4,0,3,3,18,4
15,586,3,0,2,1,1,2
11,268,4,1,5,3,12,
11,47,3,1,3,2,1,1
11,112,3,1,4,,12,2
11,109,4,1,,3,12,
11,10,3,1,3,,12,2
23,359,5,1,7,4,8,3
23,185,4,2,5,4,8,2
11,237,3,1,4,,14,2
23,1226,6,1,5,6,2,2
11,149,,,,1,12,
23,378,5,2,6,4,2,
23,659,4,1,4,4,8,2
2,14,5,1,7,2,8,2
23,359,5,1,8,4,8,2
23,306,,,,6,8,2
11,48,3,1,4,,12,2
23,218,5,1,6,4,8,3
23,470,,,,,70,
2,14,5,1,7,3,2,2
11,502,3,2,4,2,3,2
11,151,3,1,4,,3,2
11,237,4,1,5,3,12,
11,867,4,1,6,3,12,
11,138,4,1,3,3,12,
11,728,3,1,3,2,1,
11,114,3,1,4,,12,2
11,1540,4,1,6,3,12,
11,183,3,1,4,,14,2
11,416,4,1,6,3,12,
11,116,2,1,2,1,12,
11,384,3,0,2,,14,2
11,512,3,1,2,1,12,
11,500,4,2,5,3,12,
11,386,3,0,2,2,3,
11,177,4,1,5,,14,2
11,19,3,1,3,,14,1
11,867,4,1,6,3,12,
11,384,3,1,3,,14,2
11,37,3,1,3,1,12,1
11,37,2,0,2,1,1,
11,237,4,2,6,,12,
11,23,3,1,3,2,12,
11,1546,3,1,3,,12,2
11,19,3,1,3,,14,1
11,114,3,1,5,,12,2
11,231,3,1,3,2,12,1
5,271,3,0,2,,28,2
11,1451,4,1,6,3,12,
11,38,3,1,4,,12,1
11,48,4,1,5,,14,1
11,18,3,0,,2,1,
11,1526,1,1,2,1,3,
11,10,3,2,4,2,12,
11,18,3,1,3,2,12,
11,446,1,1,2,1,12,
11,79,3,1,4,2,12,
11,9,3,1,4,,14,2
11,51,4,1,5,3,12,
11,1547,4,2,6,3,12,1
11,436,4,1,6,3,12,
11,112,2,0,3,2,12,2
11,51,4,2,6,3,12,
11,755,4,1,5,3,12,
11,43,3,1,4,2,12,
11,231,3,1,3,,12,1
11,94,3,1,3,2,12,
11,311,4,1,5,3,3,2
11,111,3,0,2,,12,2
11,74,4,1,4,,12,2
11,477,3,0,2,1,12,
11,247,3,1,3,,14,1
11,102,4,1,6,3,12,
11,134,3,0,2,2,11,2
11,1046,4,1,5,3,12,
11,107,3,2,,3,12,
11,19,3,1,4,2,3,
11,18,3,1,3,2,1,
11,47,3,0,2,,12,
11,123,3,1,3,,14,2
11,116,2,1,,1,12,
22,126,3,0,2,1,14,2
15,391,2,0,2,,14,2
15,316,3,1,4,4,3,2
22,285,4,0,2,2,12,2
1,1548,3,1,4,,12,2
1,259,1,0,1,,3,1
1,7,3,0,2,,1,1
1,123,1,0,1,,14,1
1,38,1,0,1,1,12,1
1,250,1,0,2,,1,2
7,12,4,1,5,,4,2
1,79,1,0,1,,14,1
1,1549,3,0,2,,1,2
14,1269,3,0,2,2,12,
14,299,3,0,2,2,12,
3,110,1,0,1,,1,
1,116,1,0,1,1,12,1
1,1007,1,1,1,1,1,1
1,10,2,0,2,1,1,1
1,123,2,0,2,,1,1
1,77,3,1,3,,1,2
1,378,3,1,4,,1,2
1,867,3,1,4,,12,1
25,185,3,1,4,2,1,1
1,116,1,1,1,,1,1
1,378,2,1,2,1,12,2
1,54,3,1,5,,12,2
1,1550,3,1,5,2,12,1
1,1551,2,1,2,,1,1
1,114,3,0,2,1,1,1
1,60,3,0,2,2,1,1
4,680,6,0,6,10,59,1
20,242,3,0,3,2,14,2
22,25,3,0,2,2,14,2
20,883,3,0,2,2,12,1
34,25,1,1,1,1,1,1
7,679,2,0,2,1,12,2
7,285,1,0,2,1,12,2
38,449,3,0,2,,7,2
34,1552,4,1,5,4,12,2
11,616,4,1,5,3,29,1
15,20,4,0,2,1,12,2
45,512,3,1,3,,7,
4,283,6,0,6,3,4,
6,115,3,0,2,1,14,
1,526,1,0,1,2,16,2
1,107,4,1,3,2,1,1
8,126,3,0,2,1,12,
14,123,4,1,5,2,13,3
2,897,4,1,4,2,9,2
45,393,2,0,1,1,14,1
59,128,3,0,2,1,1,
22,565,2,0,1,1,6,2
33,51,5,0,3,6,10,3
2,13,6,1,6,7,2,2
32,78,3,1,3,,12,2
11,108,2,0,2,1,1,1
11,512,1,0,1,1,1,1
11,116,3,2,4,2,12,1
11,116,3,1,4,3,12,2
11,242,3,0,2,1,14,1
11,458,3,1,4,2,3,1
11,392,1,0,1,1,1,1
1,48,4,1,4,2,3,1
11,95,5,1,5,3,43,2
11,116,3,2,3,2,12,1
15,244,2,0,2,1,1,
20,453,3,0,2,2,12,3
20,137,3,1,3,2,14,2
20,449,3,0,3,1,14,2
20,259,3,1,4,2,14,2
20,4,3,0,3,1,3,3
20,66,3,0,3,1,3,3
20,1,3,1,4,2,14,3
33,192,,,,,38,
23,449,2,0,2,1,14,2
15,271,3,0,2,1,6,2
17,70,3,1,4,2,3,2
43,41,2,1,2,1,3,1
17,129,3,0,2,2,12,1
15,52,3,0,2,2,1,1
15,461,3,1,2,2,1,3
15,52,3,1,2,2,1,1
23,,,,,,38,
24,115,2,0,2,1,3,1
45,71,3,0,2,2,14,1
11,47,3,1,3,,11,1
11,52,3,0,2,,11,2
27,516,5,1,6,2,3,2
27,80,5,1,6,2,3,2
15,626,3,0,2,1,6,2
45,285,3,0,2,,26,2
20,71,3,1,3,2,3,2
15,129,2,0,1,2,12,3
6,10,3,1,3,,7,2
11,222,2,0,2,1,12,1
13,578,1,0,1,,11,1
3,213,3,0,2,1,12,1
34,213,1,0,1,1,1,1
11,4,3,0,2,1,12,
30,134,3,1,3,2,15,2
21,1553,2,0,1,2,1,2
21,1554,3,0,2,2,1,3
13,21,1,0,1,,11,1
23,614,4,1,6,3,12,2
13,47,2,0,2,,1,1
43,529,3,0,2,1,12,2
21,174,3,1,3,,12,1
3,512,3,1,3,2,14,1
3,116,3,1,,3,12,2
7,149,3,0,2,1,12,1
23,38,2,0,,1,12,1
25,784,4,1,5,1,1,1
23,1555,5,0,7,,12,2
23,1556,3,0,5,,12,2
23,1557,4,2,6,,12,2
23,1557,4,2,6,,12,2
2,1558,1,1,1,,1,3
17,285,3,0,2,,14,2
13,282,1,0,1,,11,2
13,435,1,1,1,,11,2
11,27,4,0,3,3,14,1
33,93,5,0,7,3,32,1
32,32,7,1,8,3,10,2
9,55,3,1,3,3,15,2
9,6,3,1,3,2,15,2
1,1559,2,1,2,2,3,2
1,1560,2,1,2,2,3,2
1,1561,1,0,1,1,16,2
1,102,2,1,2,1,16,2
14,108,5,0,4,2,13,3
5,115,6,0,5,2,13,2
3,196,4,1,2,2,12,
20,97,2,1,2,1,12,1
32,213,2,0,2,1,14,2
1,93,3,1,4,1,16,1
1,1562,1,0,1,1,11,1
1,37,1,0,1,1,11,1
1,254,2,1,2,1,14,1
1,1563,2,0,2,1,3,3
4,357,3,0,2,1,1,1
8,357,3,0,2,2,12,1
8,236,3,0,2,,12,1
4,126,3,0,2,1,28,2
4,400,3,0,2,1,1,2
4,285,3,1,2,1,14,2
4,53,3,1,2,2,14,2
4,544,3,0,2,,1,2
4,397,3,0,2,,11,2
4,129,3,1,2,,12,2
55,71,4,0,3,,18,
11,71,3,0,2,1,12,2
1,87,3,0,3,,12,1
41,415,3,0,2,,29,2
45,679,3,0,2,,3,2
45,410,3,1,4,,43,2
45,410,3,1,4,,43,2
45,413,3,0,2,,12,2
29,413,3,0,2,,1,2
22,357,1,0,1,,12,2
22,20,1,0,1,,12,1
22,47,3,0,2,,12,
22,168,3,0,3,3,12,
29,35,5,1,6,6,2,3
29,51,5,1,6,,2,3
38,32,6,1,6,6,10,2
2,88,5,0,6,,2,
13,115,3,0,3,3,1,1
11,108,2,0,2,2,1,1
18,472,3,0,2,1,12,3
27,583,5,0,3,,7,2
5,828,3,0,2,1,14,1
40,190,2,1,2,1,66,3
4,73,7,0,8,,4,2
20,126,3,0,2,1,6,
16,300,3,0,2,2,1,
5,726,2,0,2,,6,1
5,456,2,1,2,,6,2
8,520,3,0,2,1,12,
4,18,3,0,2,,26,3
11,15,3,1,4,3,12,2
11,167,5,1,6,,46,1
27,194,3,0,2,1,12,2
1,238,4,2,,,12,
1,27,2,0,2,2,1,
15,194,3,0,2,1,12,2
43,1564,,,,,38,
27,357,2,0,2,2,14,1
27,393,2,1,2,2,14,2
27,90,2,1,2,2,14,2
34,271,1,0,1,,1,1
1,6,4,0,5,,29,2
1,6,4,0,5,2,29,2
18,192,,,,,38,
2,8,1,0,1,1,1,1
22,785,3,0,2,2,12,2
33,307,,,,,2,
11,282,1,0,1,,1,3
2,586,1,0,1,1,1,1
11,231,3,1,3,2,15,1
34,271,1,0,1,,1,1
11,77,4,0,4,,12,1
2,810,4,2,6,,10,1
33,1211,8,0,7,,8,2
23,32,4,1,4,,12,1
4,17,5,0,5,4,34,4
18,697,1,1,1,1,16,2
1,547,2,0,1,,11,1
20,1524,2,0,1,,7,3
19,457,,,,,53,
19,200,7,0,5,8,8,1
33,655,1,0,1,1,1,1
33,19,3,1,4,3,3,2
33,79,,,,2,3,2
48,190,3,0,2,2,6,3
33,1,3,1,3,2,14,2
33,70,3,1,3,2,14,1
33,115,3,1,4,2,14,1
33,19,3,1,4,2,3,2
33,19,3,1,4,2,3,1
33,19,3,1,4,2,14,2
33,34,4,1,4,3,3,2
33,34,4,1,5,3,3,2
33,116,3,1,4,2,3,1
33,107,3,1,4,3,14,2
33,123,3,1,4,2,3,1
33,115,3,1,3,2,14,2
33,1,5,2,3,4,14,1
4,1565,3,0,2,1,55,3
1,1566,1,0,1,1,16,2
1,44,3,1,3,2,12,2
1,44,3,1,3,2,12,2
2,94,3,1,3,,11,2
2,137,1,1,2,1,11,2
11,12,4,1,5,3,3,2
29,213,1,0,,,12,
42,147,5,1,4,2,20,2
1,1567,2,0,2,2,16,2
24,858,5,0,5,,2,
25,532,1,0,1,,1,1
25,41,2,0,2,,16,1
4,219,4,0,3,,7,3
25,778,1,0,1,,11,1
4,94,3,0,2,,11,1
15,397,1,0,2,,11,1
25,469,1,0,1,,11,1
24,65,3,0,2,,12,2
1,47,1,1,2,,3,1
25,122,1,0,1,,11,1
18,371,1,0,1,,11,1
25,512,1,0,1,1,16,1
4,397,3,0,2,2,12,2
25,87,3,0,3,,16,1
25,71,1,0,1,,11,1
1,856,4,1,6,4,16,2
9,378,3,2,5,4,3,2
1,115,2,1,2,1,12,1
1,17,2,1,2,1,12,1
9,2,5,1,6,4,3,2
25,299,1,0,1,1,14,1
1,32,3,1,5,2,16,2
1,32,3,1,5,2,16,2
1,108,3,0,2,1,12,2
12,43,3,1,3,,18,1
12,1568,2,1,2,,12,3
12,34,3,1,5,2,18,2
12,123,2,2,3,2,12,2
12,146,4,1,5,,2,2
12,1,3,0,2,,12,1
12,36,4,1,4,2,37,2
12,1569,2,0,2,,12,3
12,1570,3,1,2,,12,3
12,1571,3,0,2,,12,3
12,82,2,0,2,,12,3
12,78,3,1,4,,12,3
12,62,3,2,4,,12,3
12,123,3,1,3,2,12,1
12,35,4,1,5,,2,2
15,493,3,1,2,2,1,2
29,241,3,0,2,1,11,2
15,512,3,0,2,2,1,3
29,241,3,0,2,1,11,2
11,286,4,1,6,3,3,
33,364,3,0,2,2,1,
33,137,3,0,2,2,1,
6,116,4,0,3,,18,2
32,532,2,0,2,1,12,1
33,77,,,,,38,
